input,blk_cnt,test_cnt,rate
http://www.iwantim.com,19,213,0.09
http://www.zendproxy.com,15,158,0.09
http://www.proxyweb.net,19,211,0.09
http://www.babylon-x.com,16,212,0.08
http://securevpn.com,13,170,0.08
http://masralekhbaria.com,14,206,0.07
http://www.alshaab.com,14,210,0.07
https://www.skype.com/,12,170,0.07
http://www.roxypalace.com,10,174,0.06
http://zenvpn.net,11,195,0.06
http://www.royalvegas.com,10,175,0.06
http://www.democracycaucus.net,12,218,0.06
http://www.tigervpn.com,11,198,0.06
http://www.grandonline.com,9,173,0.05
http://www.pornhub.com/,9,174,0.05
http://www.spinpalace.com,9,172,0.05
http://www.people.com.cn,11,210,0.05
http://www.163.com,9,226,0.04
http://www.slotland.com,6,169,0.04
http://del.icio.us,8,189,0.04
http://www.xeronet.xyz,7,163,0.04
http://www.23.org,10,224,0.04
http://www.goldenrivieracasino.com,8,179,0.04
http://www.sportsinteraction.com,8,207,0.04
https://www.bme.com/,8,180,0.04
https://dawaalhaq.com,5,151,0.03
http://www.datpiff.com,6,218,0.03
http://www.moderndrunkardmagazine.com,7,213,0.03
http://www.topcities.com,6,213,0.03
http://www.vpnbrowse.com,6,177,0.03
http://tortureinegypt.net,5,193,0.03
http://www.fepproject.org,6,222,0.03
https://gpgtools.org,3,193,0.02
https://global.blackberry.com/en/home.html,3,192,0.02
http://www.pof.com,3,176,0.02
http://translation2.paralink.com,4,233,0.02
http://www.piratpartiet.se,3,177,0.02
http://www.boomproxy.com,4,184,0.02
http://hotmail.msn.com,3,183,0.02
http://bravotube.net,3,190,0.02
http://www.gotgayporn.com,4,180,0.02
http://www.freehomepage.com/,5,216,0.02
http://www.vatican.va,4,211,0.02
https://www.blogger.com/,3,182,0.02
http://www.barnesandnoble.com/,3,175,0.02
http://www.pgp.com,3,175,0.02
http://www.proxy.yt,4,177,0.02
http://www.idsoftware.com,3,181,0.02
http://astalavista.box.sk,3,241,0.01
https://www.postmaster.co.uk/,2,171,0.01
