url,category_code,category_description,explorer_url,domain
http://www.carnivalcasino.com/,GMB,Gambling,https://explorer.ooni.org/measurement/20220101T000020Z_webconnectivity_RU_12389_n1_JsmEkt2BwDWwOFox?input=http%3A%2F%2Fwww.carnivalcasino.com%2F,www.carnivalcasino.com
http://www.casinotropez.com/,GMB,Gambling,https://explorer.ooni.org/measurement/20220101T000020Z_webconnectivity_RU_12389_n1_JsmEkt2BwDWwOFox?input=http%3A%2F%2Fwww.casinotropez.com%2F,www.casinotropez.com
http://anonymizer.ru/,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/20220412T050012Z_webconnectivity_RU_48642_n1_MJByYEHokpBM84El?input=http%3A%2F%2Fwww.anonymizer.ru%2F,anonymizer.ru
http://www.spinpalace.com/,GMB,Gambling,https://explorer.ooni.org/measurement/20220111T112734Z_webconnectivity_RU_12389_n1_X39YAXpMqKpqmPLN?input=http%3A%2F%2Fwww.spinpalace.com%2F,www.spinpalace.com
http://www.roxypalace.com/,GMB,Gambling,https://explorer.ooni.org/measurement/20220111T112734Z_webconnectivity_RU_12389_n1_X39YAXpMqKpqmPLN?input=http%3A%2F%2Fwww.roxypalace.com%2F,www.roxypalace.com
http://www.weedy.be/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20220111T115954Z_webconnectivity_RU_15774_n1_DY7btg4IGophs8cq?input=http%3A%2F%2Fwww.weedy.be%2F,www.weedy.be
https://www.cannaweed.com/,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/20220111T115954Z_webconnectivity_RU_15774_n1_DY7btg4IGophs8cq?input=http%3A%2F%2Fwww.cannaweed.com%2F,www.cannaweed.com
http://www.sex.com/,PORN,Pornography,https://explorer.ooni.org/measurement/20220111T115954Z_webconnectivity_RU_15774_n1_DY7btg4IGophs8cq?input=http%3A%2F%2Fwww.sex.com%2F,www.sex.com
http://www.minjust.net/,NEWS,News Media,https://explorer.ooni.org/measurement/20220215T083820Z_webconnectivity_RU_15640_n1_oSG7T92rs4OgUGKk?input=http%3A%2F%2Fwww.minjust.net%2F,www.minjust.net
http://bluesystem.info/,LGBT,LGBT,https://explorer.ooni.org/measurement/20221001T202315Z_webconnectivity_RU_35807_n1_Gk6QDWutP8YsbFOw?input=http%3A%2F%2Fbluesystem.info%2F,bluesystem.info
http://bluesystem.ru/,LGBT,LGBT,https://explorer.ooni.org/measurement/20221001T202315Z_webconnectivity_RU_35807_n1_Gk6QDWutP8YsbFOw?input=http%3A%2F%2Fbluesystem.ru%2F,bluesystem.ru
http://www.khilafah.com/,POLR,Political Criticism,https://explorer.ooni.org/measurement/20220817T211911Z_webconnectivity_RU_8402_n1_Uh4YuEbhzJYvpoZm?input=http%3A%2F%2Fwww.khilafah.com%2F,www.khilafah.com
http://www.ned.org/,POLR,Political Criticism,https://explorer.ooni.org/measurement/20220603T115944Z_webconnectivity_RU_12389_n1_gsYotthKD4YKNpho?input=http%3A%2F%2Fwww.ned.org%2F,www.ned.org
http://rutracker.org/forum/index.php/,FILE,File-sharing,https://explorer.ooni.org/measurement/20220117T071622Z_webconnectivity_RU_3216_n1_WHtJuOAUlHDUnHmu?input=http%3A%2F%2Frutracker.org%2Fforum%2Findex.php%2F,rutracker.org
http://censor.net.ua/,NEWS,News Media,https://explorer.ooni.org/measurement/20220117T074447Z_webconnectivity_RU_12389_n1_VD9CWrw5yi7jq347?input=http%3A%2F%2Fcensor.net.ua%2F,censor.net.ua
