domain,category_code,category_description,explorer_url
www.bitchute.com,MMED,Media sharing,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.bitchute.com%2F
www.epravda.com.ua,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.epravda.com.ua%2F
www.tunnelbear.com,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.tunnelbear.com%2F
www.liga.net,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.liga.net%2F
static.cdninstagram.com,GRP,Social Networking,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fstatic.cdninstagram.com%2Frobots.txt
www.seedjah.com,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.seedjah.com%2F
www.obozrevatel.com,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.obozrevatel.com%2F
current-time.gitlab.io,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fcurrent-time.gitlab.io%2F
www.cia.gov,GOVT,Government,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.cia.gov%2F
localbitcoins.com,ECON,Economics,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Flocalbitcoins.com%2F
thebell.io,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fthebell.io%2F
golosinfo.org,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fgolosinfo.org%2F
parniplus.com,LGBT,LGBT,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fparniplus.com%2F
www.proton.me,COMT,Communication Tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.proton.me%2F
www.bitfinex.com,COMM,E-commerce,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fwww.bitfinex.com%2F
kavkazcenter.com,MILX,Terrorism and Militants,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkavkazcenter.com%2F
www.kasparov.ru,NEWS,News Media,https://explorer.ooni.org/measurement/?input=http%3A%2F%2Fwww.kasparov.ru%2F
psyplants.info,ALDR,Alcohol & Drugs,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fpsyplants.info%2F
fri-gate.org,ANON,Anonymization and circumvention tools,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Ffri-gate.org%2Fru%2F
kavkazweb.net,NEWS,News Media,https://explorer.ooni.org/measurement/?input=https%3A%2F%2Fkavkazweb.net%2F
www.hizb-ut-tahrir.org,POLR,Political Criticism,https://explorer.ooni.org/measurement/20221029T224714Z_webconnectivity_RU_35807_n1_yqZV9wQfp8JrhDpg?input=http%3A%2F%2Fwww.hizb-ut-tahrir.org%2F
imrussia.org,HUMR,Human Rights Issues,https://explorer.ooni.org/measurement/20221029T225844Z_webconnectivity_RU_31059_n1_3gQN88Em29Pj3EmR?input=http%3A%2F%2Fimrussia.org%2Fen%2F
limonka.nbp-info.com,POLR,Political Criticism,https://explorer.ooni.org/measurement/20221029T225844Z_webconnectivity_RU_31059_n1_3gQN88Em29Pj3EmR?input=http%3A%2F%2Flimonka.nbp-info.com%2F
rapidgator.net,FILE,File-sharing,https://explorer.ooni.org/measurement/20220817T230711Z_webconnectivity_RU_42511_n1_v1P9dyb8AcWiPRFF?input=https%3A%2F%2Frapidgator.net%2F
www.youporn.com,PORN,Pornography,https://explorer.ooni.org/measurement/20220412T035048Z_webconnectivity_RU_48642_n1_EbMuboyElk8Mewrg?input=http%3A%2F%2Fwww.youporn.com%2F
www.bbc.com,NEWS,News Media,https://explorer.ooni.org/measurement/20220719T221204Z_webconnectivity_RU_39728_n1_Aa58o3F9o6kcz1zV?input=https%3A%2F%2Fwww.bbc.com%2F
www.agentura.ru,POLR,Political Criticism,https://explorer.ooni.org/measurement/20221031T003335Z_webconnectivity_RU_212614_n1_YyOGXxwV09og66Ps?input=https%3A%2F%2Fagentura.ru
